"Day","Difference"
1970-01-02,-0.801
1970-01-03,-0.102
1970-01-04,-0.119
1970-01-05,-0.485
1970-01-06,-0.351
1970-01-07,-0.528
1970-01-08,0.036
1970-01-09,-0.276
1970-01-10,-0.328
1970-01-11,-0.325
1970-01-12,-0.219
1970-01-13,-0.417
1970-01-14,-0.122
1970-01-15,-0.265
1970-01-16,-0.329
1970-01-17,-0.431
1970-01-18,-0.11
1970-01-19,-0.216
1970-01-20,-0.13
1970-01-21,-0.247
1970-01-22,-0.435
1970-01-23,0.131
1970-01-24,-0.327
1970-01-25,-0.101
1970-01-26,-0.29
1970-01-27,-0.606
1970-01-28,-0.599
1970-01-29,-0.659
1970-01-30,-0.199
1970-01-31,0.039
1970-02-01,0.059
1970-02-02,-0.016
1970-02-03,-0.251
1970-02-04,-0.17
1970-02-05,-0.287
1970-02-06,-0.063
1970-02-07,-0.366
1970-02-08,-0.208
1970-02-09,0.029
1970-02-10,0.002
1970-02-11,-0.096
1970-02-12,-0.027
1970-02-13,-0.041
1970-02-14,-0.26
1970-02-15,-0.287
1970-02-16,-0.29
1970-02-17,-0.647
1970-02-18,-0.193
1970-02-19,-0.22
1970-02-20,-0.248
1970-02-21,-0.214
1970-02-22,0.065
1970-02-23,0.106
1970-02-24,-0.396
1970-02-25,0.034
1970-02-26,-0.004
1970-02-27,-0.196
1970-02-28,0.056
1970-03-01,-0.091
1970-03-02,-0.015
1970-03-03,-0.377
1970-03-04,-0.088
1970-03-05,0.199
1970-03-06,-0.175
1970-03-07,-0.098
1970-03-08,-0.075
1970-03-09,0.12
1970-03-10,-0.255
1970-03-11,-0.378
1970-03-12,0.676
1970-03-13,0.307
1970-03-14,-0.25
1970-03-15,0.025
1970-03-16,-0.103
1970-03-17,0.322
1970-03-18,0.321
1970-03-19,0.02
1970-03-20,0.467
1970-03-21,-0.177
1970-03-22,-0.453
1970-03-23,-0.533
1970-03-24,-0.372
1970-03-25,-0.237
1970-03-26,-0.189
1970-03-27,-0.494
1970-03-28,-0.438
1970-03-29,-0.346
1970-03-30,-0.531
1970-03-31,-0.485
1970-04-01,-0.329
1970-04-02,-0.368
1970-04-03,-0.579
1970-04-04,-0.608
1970-04-05,-0.301
1970-04-06,-0.144
1970-04-07,0.24
1970-04-08,-0.147
1970-04-09,-0.157
1970-04-10,-0.312
1970-04-11,-0.332
1970-04-12,-0.162
1970-04-13,-0.427
1970-04-14,-0.242
1970-04-15,-0.417
1970-04-16,-0.666
1970-04-17,-0.192
1970-04-18,-0.114
1970-04-19,-0.196
1970-04-20,-0.295
1970-04-21,-0.328
1970-04-22,-0.533
1970-04-23,-0.098
1970-04-24,0.074
1970-04-25,-0.026
1970-04-26,-0.19
1970-04-27,-0.231
1970-04-28,-0.404
1970-04-29,-0.377
1970-04-30,-0.179
1970-05-01,-0.146
1970-05-02,-0.407
1970-05-03,-0.311
1970-05-04,-0.782
1970-05-05,0.262
1970-05-06,-0.08
1970-05-07,-0.133
1970-05-08,-0.22
1970-05-09,-0.384
1970-05-10,-0.339
1970-05-11,-0.068
1970-05-12,-0.463
1970-05-13,-0.367
1970-05-14,-0.97
1970-05-15,-0.885
1970-05-16,-0.528
1970-05-17,-0.446
1970-05-18,-0.183
1970-05-19,-0.328
1970-05-20,-0.312
1970-05-21,-0.137
1970-05-22,-0.471
1970-05-23,-0.14
1970-05-24,0.059
1970-05-25,-0.468
1970-05-26,-0.801
1970-05-27,-0.803
1970-05-28,-0.358
1970-05-29,-0.552
1970-05-30,-0.161
1970-05-31,-0.329
1970-06-01,-0.457
1970-06-02,-0.299
1970-06-03,-0.405
1970-06-04,-0.518
1970-06-05,-0.806
1970-06-06,-0.59
1970-06-07,-0.094
1970-06-08,-0.332
1970-06-09,-0.394
1970-06-10,-0.223
1970-06-11,-0.214
1970-06-12,-0.374
1970-06-13,-0.51
1970-06-14,-0.387
1970-06-15,-0.909
1970-06-16,-0.331
1970-06-17,-0.102
1970-06-18,-0.553
1970-06-19,-0.301
1970-06-20,-0.313
1970-06-21,-0.547
1970-06-22,-0.017
1970-06-23,-0.49
1970-06-24,-0.123
1970-06-25,-0.06
1970-06-26,-0.288
1970-06-27,-0.454
1970-06-28,-0.213
1970-06-29,-0.246
1970-06-30,-0.581
1970-07-01,0.197
1970-07-02,-0.098
1970-07-03,0.017
1970-07-04,-0.387
1970-07-05,-0.331
1970-07-06,-0.206
1970-07-07,-0.037
1970-07-08,0.059
1970-07-09,-0.127
1970-07-10,-0.425
1970-07-11,-0.073
1970-07-12,-0.31
1970-07-13,0.163
1970-07-14,-0.094
1970-07-15,-0.182
1970-07-16,-0.297
1970-07-17,-0.465
1970-07-18,-0.37
1970-07-19,-0.021
1970-07-20,-0.206
1970-07-21,-0.003
1970-07-22,-0.368
1970-07-23,0.137
1970-07-24,-0.016
1970-07-25,0.229
1970-07-26,-0.713
1970-07-27,-0.051
1970-07-28,-0.225
1970-07-29,-0.43
1970-07-30,-0.049
1970-07-31,-0.222
1970-08-01,-0.081
1970-08-02,-0.093
1970-08-03,-0.086
1970-08-04,0.118
1970-08-05,0.024
1970-08-06,-0.009
1970-08-07,-0.408
1970-08-08,-0.397
1970-08-09,0.034
1970-08-10,0.18
1970-08-11,0.319
1970-08-12,0.111
1970-08-13,0.083
1970-08-14,-0.201
1970-08-15,0.133
1970-08-16,-0.291
1970-08-17,0.286
1970-08-18,0.171
1970-08-19,0.244
1970-08-20,0.197
1970-08-21,-0.342
1970-08-22,-0.042
1970-08-23,-0.035
1970-08-24,-0.087
1970-08-25,-0.199
1970-08-26,-0.289
1970-08-27,-0.159
1970-08-28,0.12
1970-08-29,-0.205
1970-08-30,-0.441
1970-08-31,-0.133
1970-09-01,0.197
1970-09-02,-0.005
1970-09-03,-0.353
1970-09-04,-0.031
1970-09-05,0.057
1970-09-06,-0.165
1970-09-07,-0.188
1970-09-08,-0.157
1970-09-09,-0.369
1970-09-10,-0.456
1970-09-11,-0.26
1970-09-12,-0.083
1970-09-13,0.064
1970-09-14,-0.105
1970-09-15,-0.21
1970-09-16,-0.012
1970-09-17,-0.134
1970-09-18,-0.065
1970-09-19,-0.383
1970-09-20,-0.395
1970-09-21,-0.418
1970-09-22,-0.237
1970-09-23,-0.301
1970-09-24,-0.389
1970-09-25,-0.364
1970-09-26,-0.227
1970-09-27,0.204
1970-09-28,-0.105
1970-09-29,0.015
1970-09-30,0.101
1970-10-01,-0.164
1970-10-02,-0.359
1970-10-03,-0.665
1970-10-04,-0.273
1970-10-05,-0.259
1970-10-06,0.092
1970-10-07,-0.084
1970-10-08,-0.386
1970-10-09,-0.203
1970-10-10,-0.32
1970-10-11,-0.225
1970-10-12,-0.117
1970-10-13,-0.398
1970-10-14,-0.206
1970-10-15,-0.36
1970-10-16,-0.196
1970-10-17,-0.345
1970-10-18,-0.422
1970-10-19,-0.568
1970-10-20,-0.435
1970-10-21,-0.435
1970-10-22,-0.507
1970-10-23,-0.457
1970-10-24,-0.125
1970-10-25,-0.174
1970-10-26,-0.011
1970-10-27,-0.112
1970-10-28,-0.055
1970-10-29,-0.296
1970-10-30,-0.238
1970-10-31,-0.363
1970-11-01,-0.303
1970-11-02,-0.356
1970-11-03,-0.285
1970-11-04,-0.185
1970-11-05,-0.197
1970-11-06,-0.25
1970-11-07,-0.037
1970-11-08,-0.544
1970-11-09,-0.365
1970-11-10,-0.112
1970-11-11,-0.401
1970-11-12,-0.16
1970-11-13,-0.358
1970-11-14,-0.823
1970-11-15,-0.234
1970-11-16,-0.247
1970-11-17,-0.361
1970-11-18,-0.323
1970-11-19,-0.138
1970-11-20,-0.22
1970-11-21,-0.583
1970-11-22,-0.275
1970-11-23,0.042
1970-11-24,0.174
1970-11-25,0.172
1970-11-26,0.417
1970-11-27,-0.081
1970-11-28,0.218
1970-11-29,0.11
1970-11-30,0.208
1970-12-01,0.118
1970-12-02,0.183
1970-12-03,0.095
1970-12-04,0.033
1970-12-05,0.611
1970-12-06,1.037
1970-12-07,0.616
1970-12-08,0.218
1970-12-09,0.07
1970-12-10,0.201
1970-12-11,0.199
1970-12-12,0.03
1970-12-13,0.142
1970-12-14,0.239
1970-12-15,0.117
1970-12-16,0.176
1970-12-17,-0.159
1970-12-18,0.167
1970-12-19,-0.142
1970-12-20,-0.182
1970-12-21,-0.224
1970-12-22,-0.086
1970-12-23,-0.358
1970-12-24,-0.264
1970-12-25,0.019
1970-12-26,-0.186
1970-12-27,-0.843
1970-12-28,-0.434
1970-12-29,-0.751
1970-12-30,-0.449
1970-12-31,-0.445
1971-01-01,-0.079
1971-01-02,-0.33
1971-01-03,-0.291
1971-01-04,-0.28
1971-01-05,-0.382
1971-01-06,-0.186
1971-01-07,-0.197
1971-01-08,-0.147
1971-01-09,-0.365
1971-01-10,0
1971-01-11,-0.034
1971-01-12,0.168
1971-01-13,-0.053
1971-01-14,-0.231
1971-01-15,0.029
1971-01-16,-0.057
1971-01-17,-0.244
1971-01-18,-0.172
1971-01-19,-0.542
1971-01-20,-0.15
1971-01-21,0.233
1971-01-22,-0.135
1971-01-23,-0.471
1971-01-24,-0.192
1971-01-25,0.034
1971-01-26,-0.288
1971-01-27,-0.301
1971-01-28,-0.304
1971-01-29,-0.083
1971-01-30,-0.182
1971-01-31,-0.417
1971-02-01,-0.46
1971-02-02,-0.44
1971-02-03,-0.378
1971-02-04,0.085
1971-02-05,-0.088
1971-02-06,-0.19
1971-02-07,-0.143
1971-02-08,-0.223
1971-02-09,-0.353
1971-02-10,-0.304
1971-02-11,-0.361
