Day,Difference
2029,0.509460273
2030,0.509946647
2031,0.51043302
2032,0.510919394
2033,0.511405767
2034,0.51189214
2035,0.512378514
2036,0.512864887
2037,0.51335126
2038,0.513837634
2039,0.514324007
2040,0.51481038
2041,0.515296754
2042,0.515783127
2043,0.5162695
2044,0.516755874
2045,0.517242247
2046,0.51772862
2047,0.518214994
2048,0.518701367
2049,0.51918774
2050,0.519674114
2051,0.520160487
2052,0.52064686
2053,0.521133234
2054,0.521619607
2055,0.52210598
2056,0.522592354
2057,0.523078727
2058,0.5235651
2059,0.524051474
2060,0.524537847
2061,0.52502422
2062,0.525510594
2063,0.525996967
2064,0.526483341
2065,0.526969714
2066,0.527456087
2067,0.527942461
2068,0.528428834
2069,0.528915207
2070,0.529401581
2071,0.529887954
2072,0.530374327
2073,0.530860701
2074,0.531347074
2075,0.531833447
2076,0.532319821
2077,0.532806194
