"","Day","Difference"
"1",2029,0.509460273487407
"2",2030,0.509946646830652
"3",2031,0.510433020173897
"4",2032,0.510919393517143
"5",2033,0.511405766860388
"6",2034,0.511892140203633
"7",2035,0.512378513546878
"8",2036,0.512864886890123
"9",2037,0.513351260233368
"10",2038,0.513837633576613
"11",2039,0.514324006919858
"12",2040,0.514810380263103
"13",2041,0.515296753606348
"14",2042,0.515783126949593
"15",2043,0.516269500292838
"16",2044,0.516755873636083
"17",2045,0.517242246979328
"18",2046,0.517728620322573
"19",2047,0.518214993665819
"20",2048,0.518701367009064
"21",2049,0.519187740352309
"22",2050,0.519674113695554
"23",2051,0.520160487038799
"24",2052,0.520646860382044
"25",2053,0.521133233725289
"26",2054,0.521619607068534
"27",2055,0.522105980411779
"28",2056,0.522592353755024
"29",2057,0.523078727098269
"30",2058,0.523565100441514
"31",2059,0.524051473784759
"32",2060,0.524537847128004
"33",2061,0.52502422047125
"34",2062,0.525510593814495
"35",2063,0.52599696715774
"36",2064,0.526483340500985
"37",2065,0.52696971384423
"38",2066,0.527456087187475
"39",2067,0.52794246053072
"40",2068,0.528428833873965
"41",2069,0.52891520721721
"42",2070,0.529401580560455
"43",2071,0.5298879539037
"44",2072,0.530374327246945
"45",2073,0.53086070059019
"46",2074,0.531347073933435
"47",2075,0.53183344727668
"48",2076,0.532319820619926
"49",2077,0.53280619396317
"50",2078,0.533292567306416
"51",2079,0.533778940649661
"52",2080,0.534265313992906
"53",2081,0.534751687336151
"54",2082,0.535238060679396
"55",2083,0.535724434022641
"56",2084,0.536210807365886
"57",2085,0.536697180709131
"58",2086,0.537183554052376
"59",2087,0.537669927395621
"60",2088,0.538156300738866
"61",2089,0.538642674082111
"62",2090,0.539129047425357
"63",2091,0.539615420768601
"64",2092,0.540101794111847
"65",2093,0.540588167455092
"66",2094,0.541074540798337
"67",2095,0.541560914141582
"68",2096,0.542047287484827
"69",2097,0.542533660828072
"70",2098,0.543020034171317
"71",2099,0.543506407514562
"72",2100,0.543992780857807
"73",2101,0.544479154201052
"74",2102,0.544965527544297
"75",2103,0.545451900887542
"76",2104,0.545938274230787
"77",2105,0.546424647574033
"78",2106,0.546911020917278
"79",2107,0.547397394260523
"80",2108,0.547883767603768
"81",2109,0.548370140947013
"82",2110,0.548856514290258
"83",2111,0.549342887633503
"84",2112,0.549829260976748
"85",2113,0.550315634319993
"86",2114,0.550802007663238
"87",2115,0.551288381006483
"88",2116,0.551774754349728
"89",2117,0.552261127692973
"90",2118,0.552747501036218
"91",2119,0.553233874379463
"92",2120,0.553720247722708
"93",2121,0.554206621065954
"94",2122,0.554692994409199
"95",2123,0.555179367752444
"96",2124,0.555665741095689
"97",2125,0.556152114438934
"98",2126,0.556638487782179
