"td_player_id","player_name","pass_attempts","completions","passing_yards","passing_tds","interceptions","rush_attempts","rushing_yards","rushing_tds","receptions","fumbles","games_played"
"00-0019596","T.Brady",0,0,0,0,0,10,11,10,0,0,9
"00-0020531","D.Brees",0,0,0,0,0,3,3,3,0,0,3
"00-0022127","D.Carr",2,2,4,2,0,0,0,0,2,0,2
"00-0022127","D.Prescott",4,4,33,4,0,0,0,0,4,0,4
"00-0022921","K.Murray",5,5,45,5,0,0,0,0,5,0,5
"00-0022924","B.Roethlisberger",0,0,0,0,0,1,1,1,0,0,1
"00-0023459","A.Rodgers",0,0,0,0,0,8,33,8,0,0,8
"00-0023459","Aa.Rodgers",0,0,0,0,0,1,1,1,0,0,1
"00-0023500","F.Gore",0,0,0,0,0,4,4,4,0,0,4
"00-0023682","R.Fitzpatrick",0,0,0,0,0,4,32,4,0,0,4
"00-0023682","R.Fitzpatrick",0,0,0,0,0,2,11,2,0,0,2
"00-0024221","C.Keenum",1,1,48,1,0,0,0,0,1,0,1
"00-0024243","A.Rodgers",6,6,28,6,0,0,0,0,6,0,6
"00-0024243","J.Fields",1,1,1,1,0,0,0,0,1,0,1
"00-0024389","M.Mariota",2,2,18,2,0,0,0,0,2,0,1
"00-0025394","A.Peterson",0,0,0,0,0,14,46,14,0,0,12
"00-0025396","D.Brees",1,1,6,1,0,0,0,0,1,0,1
"00-0025396","T.Bridgewater",1,1,33,1,0,0,0,0,1,0,1
"00-0025399","M.Lynch",0,0,0,0,0,4,8,4,0,0,3
"00-0025418","K.Allen",2,2,6,2,0,0,0,0,2,0,1
"00-0025418","R.Wilson",1,1,7,1,0,0,0,0,1,0,1
"00-0026035","D.Mills",2,2,33,2,0,0,0,0,2,0,1
"00-0026035","M.Stafford",1,1,47,1,0,0,0,0,1,0,1
"00-0026035","T.Taylor",1,1,8,1,0,0,0,0,1,0,1
"00-0026143","M.Ryan",0,0,0,0,0,2,14,2,0,0,2
"00-0026143","M.Ryan",0,0,0,0,0,3,3,3,0,0,3
"00-0026189","C.Wentz",2,2,104,2,0,0,0,0,2,0,1
"00-0026189","D.Carr",1,1,56,1,0,0,0,0,1,0,1
"00-0026189","J.Hurts",1,1,81,1,0,0,0,0,1,0,1
"00-0026189","M.Stafford",1,1,75,1,0,0,0,0,1,0,1
"00-0026190","J.Brissett",0,0,0,0,0,1,5,0,0,1,1
"00-0026197","C.Henne",0,0,0,0,0,1,1,1,0,0,1
"00-0026283","L.Falk",1,0,0,0,0,0,0,0,0,1,1
"00-0026293",NA,0,0,0,0,0,0,0,0,0,0,1
"00-0026498","M.Stafford",0,0,0,0,0,1,1,1,0,0,1
"00-0026498","M.Stafford",0,0,0,0,0,2,2,2,0,0,2
"00-0026990","M.Jones",1,0,0,0,1,0,0,0,0,0,1
"00-0027029","P.Mahomes",1,1,14,1,0,0,0,0,1,0,1
"00-0027029","L.McCoy",0,0,0,0,0,4,11,4,0,0,4
"00-0027061","D.Brees",12,12,270,12,0,0,0,0,12,0,10
"00-0027061","J.Herbert",4,4,28,4,0,0,0,0,4,0,4
"00-0027061","T.Bridgewater",2,2,13,2,0,0,0,0,2,0,2
"00-0027061","T.Hill",2,2,31,2,0,0,0,0,2,0,2
"00-0027150","T.Brady",6,6,88,6,0,0,0,0,6,0,5
"00-0027150","J.Edelman",0,0,0,0,0,1,5,1,0,0,1
"00-0027647","R.Wilson",1,0,0,0,1,0,0,0,0,0,1
"00-0027647",NA,0,0,0,0,0,0,0,0,0,0,1
"00-0027656","B.Gabbert",1,1,25,1,0,0,0,0,1,0,1
"00-0027656","T.Brady",15,15,161,15,0,0,0,0,15,0,11
"00-0027685","D.Brees",4,4,35,4,0,0,0,0,4,0,4
"00-0027685","J.Allen",5,5,110,5,0,0,0,0,5,0,3
"00-0027685","J.Flacco",2,2,8,2,0,0,0,0,2,0,2
"00-0027685","J.Garoppolo",3,3,80,3,0,0,0,0,3,0,3
"00-0027685","T.Hill",1,1,37,1,0,0,0,0,1,0,1
"00-0027691",NA,0,0,0,0,0,0,0,0,0,0,1
"00-0027696","A.Dalton",2,2,18,2,0,0,0,0,2,0,2
"00-0027696","A.Rodgers",3,3,25,3,0,0,0,0,3,0,3
"00-0027696","D.Carr",4,4,19,4,0,0,0,0,4,0,4
"00-0027696","M.Trubisky",6,6,55,6,0,0,0,0,6,0,5
"00-0027696","N.Foles",4,4,38,4,0,0,0,0,4,0,4
"00-0027793","T.Brady",11,11,306,11,0,0,0,0,11,0,9
"00-0027855","J.Goff",1,0,0,0,0,0,0,0,0,1,1
"00-0027855","M.Ryan",1,0,0,0,0,0,0,0,0,1,1
"00-0027860","R.Griffin III",1,0,0,0,1,0,0,0,0,0,1
"00-0027872","D.Watson",1,1,8,0,0,0,0,0,1,1,1
"00-0027874","S.Darnold",1,1,14,1,0,0,0,0,1,0,1
"00-0027881","D.Lock",1,0,0,0,0,0,0,0,0,1,1
"00-0027891","D.Jones",7,7,241,7,0,0,0,0,7,0,6
"00-0027891","E.Manning",1,1,51,1,0,0,0,0,1,0,1
"00-0027902","L.Jackson",2,2,19,2,0,0,0,0,2,0,2
"00-0027939","C.Newton",0,0,0,0,0,1,9,1,0,0,1
"00-0027939","J.Meyers",1,1,19,1,0,0,0,0,1,0,1
"00-0027939","C.Newton",0,0,0,0,0,16,76,16,0,0,12
"00-0027942","B.Allen",1,1,5,1,0,0,0,0,1,0,1
"00-0027942","C.McCoy",1,1,6,1,0,0,0,0,1,0,1
"00-0027942","D.Blough",1,1,77,1,0,0,0,0,1,0,1
"00-0027942","J.Burrow",1,1,5,1,0,0,0,0,1,0,1
"00-0027942","K.Murray",3,3,64,3,0,0,0,0,3,0,3
"00-0027943","A.Dalton",1,0,0,0,1,0,0,0,0,0,1
"00-0027944","J.Hurts",3,3,42,3,0,0,0,0,3,0,2
"00-0027944","M.Ryan",9,9,161,9,0,0,0,0,9,0,6
"00-0027944","R.Tannehill",1,1,3,1,0,0,0,0,1,0,1
"00-0027944","T.Brady",3,3,69,3,0,0,0,0,3,0,3
"00-0027945","T.Williams",0,0,0,0,0,1,-2,0,0,1,1
"00-0027949","M.Stafford",1,0,0,0,1,0,0,0,0,0,1
"00-0027966","L.Jackson",5,5,66,5,0,0,0,0,5,0,4
"00-0027966","M.Ingram",0,0,0,0,0,15,88,15,0,0,12
"00-0027973","A.Dalton",0,0,0,0,0,2,7,2,0,0,2
"00-0027973","A.Dalton",0,0,0,0,0,2,2,2,0,0,2
"00-0027981","D.Jones",1,1,1,1,0,0,0,0,1,0,1
"00-0027981","K.Cousins",8,8,62,8,0,0,0,0,8,0,7
"00-0027981","T.Brady",1,1,8,1,0,0,0,0,1,0,1
"00-0028002","A.Rodgers",6,6,50,6,0,0,0,0,6,0,4
"00-0028002","D.Prescott",3,3,66,3,0,0,0,0,3,0,3
"00-0028002","D.Watson",3,3,35,3,0,0,0,0,3,0,3
"00-0028002","Z.Wilson",1,1,15,1,0,0,0,0,1,0,1
"00-0028074","P.Mahomes",1,1,5,1,0,0,0,0,1,0,1
"00-0028087","D.Jones",1,1,7,1,0,0,0,0,1,0,1
"00-0028087","R.Tannehill",1,1,11,1,0,0,0,0,1,0,1
"00-0028087","D.Lewis",0,0,0,0,0,2,2,2,0,0,2
"00-0028092","J.Winston",1,0,0,0,1,0,0,0,0,0,1
"00-0028097","J.Allen",3,3,13,3,0,0,0,0,3,0,3
"00-0028097","M.Ryan",1,1,1,1,0,0,0,0,1,0,1
"00-0028112","K.Murray",1,1,5,1,0,0,0,0,1,0,1
"00-0028118","T.Taylor",0,0,0,0,0,3,27,3,0,0,2
"00-0028142","J.Herbert",1,1,26,1,0,0,0,0,1,0,1
"00-0028142","T.Taylor",1,1,14,1,0,0,0,0,1,0,1
"00-0028237","J.Winston",1,1,10,1,0,0,0,0,1,0,1
"00-0028292","R.Wilson",1,1,3,1,0,0,0,0,1,0,1
"00-0028411","D.Haskins",2,2,28,2,0,0,0,0,2,0,1
"00-0028899","B.DiNucci",1,0,0,0,0,0,0,0,0,1,1
"00-0028899","D.Mills",1,0,0,0,1,0,0,0,0,0,1
"00-0028924","M.Ryan",1,0,0,0,1,0,0,0,0,0,1
"00-0028932","D.Watson",1,1,5,0,0,0,0,0,1,1,1
"00-0028986","C.Keenum",0,0,0,0,0,1,1,1,0,0,1
"00-0029000","J.Allen",12,12,150,12,0,0,0,0,12,0,12
"00-0029119","D.Carr",1,1,4,1,0,0,0,0,1,0,1
"00-0029137","C.Wentz",4,4,24,4,0,0,0,0,4,0,4
"00-0029137","J.Hurts",1,1,15,1,0,0,0,0,1,0,1
"00-0029137","A.Jeffery",0,0,0,0,0,1,2,1,0,0,1
"00-0029141","C.McCoy",1,1,6,1,0,0,0,0,1,0,1
"00-0029141","A.Morris",0,0,0,0,0,1,4,1,0,0,1
"00-0029239","D.Carr",1,1,18,1,0,0,0,0,1,0,1
"00-0029239","M.Jones",2,2,33,2,0,0,0,0,2,0,2
"00-0029239","T.Brady",1,1,29,1,0,0,0,0,1,0,1
"00-0029239","B.Bolden",0,0,0,0,0,5,56,5,0,0,5
"00-0029249","M.Jones",1,0,0,0,0,0,0,0,0,1,1
"00-0029263","R.Wilson",0,0,0,0,0,6,52,6,0,0,6
"00-0029263","R.Wilson",0,0,0,0,0,7,26,7,0,0,7
"00-0029272","D.Haskins",1,0,0,0,0,0,0,0,0,1,1
"00-0029285","T.Tagovailoa",1,0,0,0,1,0,0,0,0,0,1
"00-0029293","D.Blough",1,1,8,1,0,0,0,0,1,0,1
"00-0029293","J.Driskel",2,2,36,2,0,0,0,0,2,0,1
"00-0029293","M.Stafford",15,15,216,15,0,0,0,0,15,0,10
"00-0029293","T.Lawrence",8,8,97,8,0,0,0,0,8,0,8
"00-0029419","R.Tannehill",2,2,2,2,0,0,0,0,2,0,2
"00-0029542","A.Dalton",1,0,0,0,1,0,0,0,0,0,1
"00-0029542","R.Fitzpatrick",1,0,0,0,1,0,0,0,0,0,1
"00-0029567","N.Foles",0,0,0,0,0,1,1,1,0,0,1
"00-0029585","R.Stevenson",0,0,0,0,0,1,23,0,0,1,1
"00-0029587","D.Jones",1,1,28,1,0,0,0,0,1,0,1
"00-0029604","K.Cousins",0,0,0,0,0,1,17,1,0,0,1
"00-0029604","K.Cousins",0,0,0,0,0,5,5,5,0,0,5
"00-0029608","C.Wentz",3,3,50,3,0,0,0,0,3,0,3
"00-0029608","J.Brissett",5,5,33,5,0,0,0,0,5,0,4
"00-0029608","P.Rivers",5,5,80,5,0,0,0,0,5,0,4
"00-0029632","M.Ryan",1,1,14,1,0,0,0,0,1,0,1
"00-0029632","M.Stafford",1,1,14,1,0,0,0,0,1,0,1
"00-0029632","T.Brady",1,1,4,1,0,0,0,0,1,0,1
"00-0029653","D.Prescott",1,0,0,0,0,0,0,0,0,1,1
"00-0029664","P.Mahomes",1,1,1,1,0,0,0,0,1,0,1
"00-0029664","T.Brady",1,1,20,1,0,0,0,0,1,0,1
"00-0029669","N.Chubb",0,0,0,0,0,1,0,0,0,1,1
"00-0029681","T.Brady",1,0,0,0,1,0,0,0,0,0,1
"00-0029701","R.Tannehill",0,0,0,0,0,7,54,7,0,0,7
"00-0029701","R.Tannehill",0,0,0,0,0,15,97,15,0,0,14
"00-0029738","D.Watson",12,12,144,12,0,0,0,0,12,1,10
"00-0029747","M.Dickson",0,0,0,0,0,1,-10,0,0,1,1
"00-0029764",NA,0,0,0,0,0,0,0,0,0,1,1
"00-0029892","B.Purdy",3,3,26,3,0,0,0,0,3,0,3
"00-0029892","C.Beathard",2,2,10,2,0,0,0,0,2,0,1
"00-0029892","J.Garoppolo",3,3,29,3,0,0,0,0,3,0,3
"00-0029892","N.Mullens",2,2,12,2,0,0,0,0,2,0,2
"00-0029892","K.Juszczyk",0,0,0,0,0,4,18,4,0,0,4
"00-0030035","A.Dalton",1,1,15,1,0,0,0,0,1,0,1
"00-0030035","B.Young",3,3,12,3,0,0,0,0,3,0,3
"00-0030035","K.Cousins",36,36,395,36,0,0,0,0,36,0,29
"00-0030035","A.Thielen",0,0,0,0,0,1,1,1,0,0,1
"00-0030061","C.McCoy",2,2,3,2,0,0,0,0,2,1,1
"00-0030061","C.Wentz",7,7,49,7,0,0,0,0,7,0,6
"00-0030061","J.Dobbs",1,1,4,1,0,0,0,0,1,0,1
"00-0030061","J.Hurts",2,2,8,2,0,0,0,0,2,0,2
"00-0030061","K.Murray",5,5,69,5,0,0,0,0,5,0,5
"00-0030062","J.Goff",1,1,8,0,0,0,0,0,1,1,1
"00-0030062","M.Jones",1,0,0,0,1,0,0,0,0,0,1
"00-0030062","T.Siemian",1,0,0,0,1,0,0,0,0,0,1
"00-0030062","M.Gordon",0,0,0,0,0,1,1,0,0,1,1
"00-0030068","A.Dalton",1,1,49,1,0,0,0,0,1,0,1
"00-0030068","G.Smith",4,4,86,4,0,0,0,0,4,0,3
"00-0030068","J.Garoppolo",1,1,38,1,0,0,0,0,1,0,1
"00-0030070","E.Stick",1,0,0,0,0,0,0,0,0,1,1
"00-0030085","D.Watson",6,6,178,6,0,0,0,0,6,0,5
"00-0030085","T.Siemian",1,1,8,1,0,0,0,0,1,0,1
"00-0030090","P.Mahomes",1,0,0,0,1,0,0,0,0,0,1
"00-0030090",NA,0,0,0,0,0,0,0,0,0,0,1
"00-0030097","M.Mariota",1,1,1,1,0,0,0,0,1,0,1
"00-0030108","J.Johnson",1,1,13,1,0,0,0,0,1,0,1
"00-0030108","S.Darnold",5,5,49,5,0,0,0,0,5,0,4
"00-0030108","Z.Wilson",1,1,1,1,0,0,0,0,1,0,1
"00-0030155","B.Mayfield",3,3,24,3,0,0,0,0,3,0,3
"00-0030181","B.Hoyer",2,2,12,2,0,0,0,0,2,0,2
"00-0030181","C.Wentz",3,3,21,3,0,0,0,0,3,0,3
"00-0030181","J.Brissett",2,2,26,2,0,0,0,0,2,0,2
"00-0030181","P.Rivers",4,4,54,4,0,0,0,0,4,0,4
"00-0030216","D.Brees",3,3,11,3,0,0,0,0,3,0,3
"00-0030216","T.Bridgewater",1,1,7,1,0,0,0,0,1,0,1
"00-0030279","C.Daniel",1,1,3,1,0,0,0,0,1,0,1
"00-0030279","J.Herbert",24,24,300,24,0,0,0,0,24,0,21
"00-0030279","P.Rivers",6,6,102,6,0,0,0,0,6,0,5
"00-0030288","C.Newton",2,2,18,2,0,0,0,0,2,0,2
"00-0030288","D.Mills",1,1,8,1,0,0,0,0,1,0,1
"00-0030288","D.Mills",0,0,0,0,0,1,5,0,0,1,1
"00-0030288","J.Meyers",1,1,24,1,0,0,0,0,1,0,1
"00-0030288","R.Burkhead",0,0,0,0,0,9,71,9,0,0,7
"00-0030300","R.Wilson",2,2,23,2,0,0,0,0,2,0,1
"00-0030383","D.Mills",1,0,0,0,1,0,0,0,0,0,1
"00-0030404","G.Minshew II",1,1,14,1,0,0,0,0,1,0,1
"00-0030411","T.Brady",1,0,0,0,1,0,0,0,0,0,1
