"Color","Status"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Returned"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Returned"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Returned"
"red","Kept"
"red","Kept"
"red","Returned"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Returned"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Returned"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Returned"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Returned"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Returned"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Returned"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Returned"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Kept"
"red","Returned"
"red","Kept"
"red","Kept"
"red","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Returned"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
"blue","Kept"
